ID,Date Collected,locale,plant family,plant species,plant common name,order,family,sub family,lep species,lep name
17063.0,16-May-03,str 100,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,quadrus cerialis
17287.0,23-May-03,sch,piperaceae,piper melanocladum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
18237.0,24-Dec-03,str,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,quadrus cerialis
18433.0,26-Dec-03,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,quadrus cerialis
18535.0,27-Dec-03,ces 250,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,quadrus cerialis
20052.0,20-Apr-04,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
20343.0,22-Jun-04,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
20344.0,22-Jun-04,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
20345.0,22-Jun-04,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
20346.0,22-Jun-04,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
20347.0,22-Jun-04,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
20348.0,22-Jun-04,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
20506.0,20-Jul-04,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
20543.0,23-Jul-04,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
20544.0,23-Jul-04,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
20546.0,23-Jul-04,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
20547.0,23-Jul-04,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
20598.0,4-Aug-04,succ plot,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
20614.0,4-Aug-04,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
20630.0,6-Aug-04,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
20632.0,6-Aug-04,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
20645.0,9-Aug-04,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
20680.0,16-Aug-04,huertos,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21275.0,4-Nov-04,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21302.0,4-Nov-04,succ plot,piperaceae,piper tonduzii,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21342.0,11-Nov-04,sen 250,piperaceae,piper generalense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21368.0,22-Nov-04,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21462.0,2-Dec-04,,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21463.0,2-Dec-04,,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21464.0,2-Dec-04,,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21465.0,2-Dec-04,,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21466.0,2-Dec-04,,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21468.0,2-Dec-04,,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21469.0,2-Dec-04,,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21472.0,2-Dec-04,,piperaceae,piper glabrescens,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21570.0,10-Dec-04,huertos,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21714.0,12-Jan-05,huertos,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21715.0,12-Jan-05,huertos,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21781.0,20-Jan-05,huertos,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21785.0,20-Jan-05,huertos,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21839.0,1-Feb-05,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
21844.0,1-Feb-05,str 250,piperaceae,piper biseriatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
22018.0,15-Feb-05,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
22099.0,14-Mar-05,huertos,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
22172.0,16-Mar-05,huertos,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
22189.0,21-Mar-05,str 600,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
22190.0,21-Mar-05,str 600,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
22200.0,22-Mar-05,huertos,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
22212.0,28-Mar-05,succ plot,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
22223.0,30-Mar-05,glacha,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
22589.0,14-May-05,succ plot,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis, 
22815.0,23-May-05,str,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23013.0,19-Jul-05,huertos,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23071.0,10-Aug-05,glacha,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23083.0,18-Aug-05,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23200.0,19-Sep-05,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23201.0,19-Sep-05,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23282.0,11-Oct-05,sura,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23512.0,28-Nov-05,huertos,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23544.0,29-Nov-05,str,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
23557.0,1-Dec-05,succ plot,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
