INDIV,species,locality,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,1 MU/g,ml of Dilution,,
5.8,T.c.,"Deep Cr., Fresno Co.",7.1,227,301,,0.982,0.982,50MU,0.00507295,4.526,21.70%,75.74%,0.051,0.1,
5.8,T.c.,"Deep Cr., Fresno Co.",7.1,227,301,,0.982,0.982,100MU,0.0101459,2.33,42.15%,73.24%,0.101,0.1,
5.81,T.c.,"Smith R., Del Norte Co.",81,553,722,0.768,0.904,0.836,1MU,0.00115749,1.06,78.87%,,0.116,0.01,2.23
5.81,T.c.,"Smith R., Del Norte Co.",81,553,722,0.768,0.904,0.836,3MU,0.00347247,2.626,31.84%,,0.347,0.01,
5.81,T.c.,"Smith R., Del Norte Co.",81,553,722,0.768,0.904,0.836,6MU,0.00694494,14.641,5.71%,,0.069,0.1,
5.82,T.c.,"Smith R., Del Norte Co.",27.8,443,595,0.763,0.574,0.669,1MU,0.000397262,0.734,91.08%,,0.04,0.01,4.22
5.82,T.c.,"Smith R., Del Norte Co.",27.8,443,595,0.763,0.574,0.669,3MU,0.001191786,0.83,80.54%,,0.119,0.01,
5.82,T.c.,"Smith R., Del Norte Co.",27.8,443,595,0.763,0.574,0.669,6MU,0.002383572,12.141,5.51%,,0.024,0.1,
5.83,T.c.,"Smith R., Del Norte Co.",27.8,419,540,0.682,0.842,0.762,1MU,0.000397262,0.751,101.46%,,0.04,0.01,3.96
5.83,T.c.,"Smith R., Del Norte Co.",27.8,419,540,0.682,0.842,0.762,3MU,0.001191786,1.105,68.96%,,0.119,0.01,
5.83,T.c.,"Smith R., Del Norte Co.",27.8,419,540,0.682,0.842,0.762,6MU,0.002383572,7.889,9.66%,,0.024,0.1,
5.84,T.c.,"Smith R., Del Norte Co.",3.3,210,271,1.065,1.262,1.164,1MU,0.000047157,0.994,117.05%,,0.047,0.001,3.13
5.84,T.c.,"Smith R., Del Norte Co.",3.3,210,271,1.065,1.262,1.164,3MU,0.000141471,2.229,52.20%,,0.014,0.01,
5.84,T.c.,"Smith R., Del Norte Co.",3.3,210,271,1.065,1.262,1.164,6MU,0.000282942,32.162,3.62%,,0.028,0.01,
5.85,T.c.,"Smith R., Del Norte Co.",3.3,202,289,1.341,0.917,1.129,1MU,0.000047157,1.273,88.69%,,0.047,0.001,4.47
5.85,T.c.,"Smith R., Del Norte Co.",3.3,202,289,1.341,0.917,1.129,3MU,0.000141471,1.426,79.17%,,0.014,0.01,
5.85,T.c.,"Smith R., Del Norte Co.",3.3,202,289,1.341,0.917,1.129,6MU,0.000282942,5.734,19.69%,,0.028,0.01,
5.86,T.c.,"Smith R., Del Norte Co.",23.6,405,545,0.644,0.942,0.793,1MU,0.000337244,0.767,103.39%,57.79%,0.034,0.01,not usable
5.86,T.c.,"Smith R., Del Norte Co.",23.6,405,545,0.644,0.942,0.793,3MU,0.001011732,4.118,19.26%,52.30%,0.101,0.01,
5.86,T.c.,"Smith R., Del Norte Co.",23.6,405,545,0.644,0.942,0.793,6MU,0.002023464,,,62.04%,,,
,,,,,,,,,,,,,,,,
6.126,T.c.,Leoni Meadows,83.4,621,825,0.555,0.378,0.467,25MU,0.02979465,0.957,48.75%,,0.06,0.5,25
6.127,T.c.,Leoni Meadows,112.9,630,811,0.503,0.874,0.689,50MU,0.08066705,0.841,81.87%,,0.161,0.5,>50
6.127,T.c.,Leoni Meadows,112.9,630,811,0.503,0.874,0.689,25MU,0.040333525,0.725,94.97%,,0.081,0.5,
6.128,T.c.,Leoni Meadows,133.3,678,877,0.672,0.766,0.719,50MU,0.09524285,1.492,48.19%,,0.19,0.5,47.5
6.128,T.c.,Leoni Meadows,133.3,678,877,0.672,0.766,0.719,25MU,0.047621425,1.087,66.15%,,0.095,0.5,
6.129,T.c.,Leoni Meadows,219.2,723,944,0.606,0.742,0.674,50MU,0.1566184,5.329,12.65%,,0.313,0.5,37.5
6.129,T.c.,Leoni Meadows,219.2,723,944,0.606,0.742,0.674,25MU,0.0783092,0.771,87.42%,,0.157,0.5,
6.13,T.c.,Leoni Meadows,65.9,568,736,0.602,0.805,0.704,50MU,0.04708555,1.81,38.87%,,0.094,0.5,42
6.13,T.c.,Leoni Meadows,65.9,568,736,0.602,0.805,0.704,25MU,0.023542775,0.951,73.97%,,0.047,0.5,
6.131,T.c.,Leoni Meadows,2.9,216,275,1.149,1.098,1.124,50MU,0.00207205,3.215,34.95%,,0.041,0.05,27.3
6.131,T.c.,Leoni Meadows,2.9,216,275,1.149,1.098,1.124,25MU,0.001036025,2.178,51.58%,,0.021,0.05,
6.132,T.c.,Leoni Meadows,5.7,238,312,1.103,1.143,1.123,50MU,0.00407265,1.482,75.78%,,0.081,0.05,>50
6.132,T.c.,Leoni Meadows,5.7,238,312,1.103,1.143,1.123,25MU,0.002036325,1.543,72.78%,,0.041,0.05,
6.133,T.c.,Leoni Meadows,5.6,284,376,0.996,0.855,0.926,50MU,0.0040012,1.444,64.09%,,0.08,0.05,>50
6.133,T.c.,Leoni Meadows,5.6,284,376,0.996,0.855,0.926,25MU,0.0020006,1.083,85.46%,,0.04,0.05,
6.182,T.c.,Dogtown Cr.,127,694,887,0.761,0.765,0.763,25MU,0.04537075,0.839,90.94%,,0.091,0.5,39
6.182,T.c.,Dogtown Cr.,127,694,887,0.761,0.765,0.763,50MU,0.0907415,4.31,17.70%,,0.181,0.5,
6.183,T.c.,Dogtown Cr.,99.8,602,793,0.787,0.613,0.7,25MU,0.03565355,1.136,61.62%,,0.071,0.5,31.6
6.183,T.c.,Dogtown Cr.,99.8,602,793,0.787,0.613,0.7,50MU,0.0713071,3.954,17.70%,,0.143,0.5,
6.226,T.c.,Beauty Lake,78.2,605,886,0.652,0.51,0.581,1MU,0.001117478,0.633,91.79%,,0.112,0.01,6.3
6.226,T.c.,Beauty Lake,78.2,605,886,0.652,0.51,0.581,3MU,0.003352434,0.627,92.66%,,0.067,0.05,
6.226,T.c.,Beauty Lake,78.2,605,886,0.652,0.51,0.581,10MU,0.01117478,2.07,28.07%,,0.112,0.1,
6.227,T.c.,Beauty Lake,16.4,367,479,0.62,0.672,0.646,1MU,0.000234356,0.591,109.31%,,0.047,0.005,7.46
6.227,T.c.,Beauty Lake,16.4,367,479,0.62,0.672,0.646,3MU,0.000703068,0.724,89.23%,,0.07,0.01,
6.227,T.c.,Beauty Lake,16.4,367,479,0.62,0.672,0.646,10MU,0.00234356,2.335,27.67%,,0.047,0.05,
