 ID ,Collector ID,Species,Locality,,Mass,SVL,TL, Trial1 , Trial2 ,BASE,INJ #,TTX DOSE(mg),POST TIME,POST/BASE,1 MU/g,ml of Dilution,dilution,50%MAMU
16.12,EJE 161,T.couchii,Jackson Meadows Res,Sierra,10.9,,,0.905,0.727,0.816,5MAMU,0.000778805,0.9,90.67%,,0.016,0.05,13.6
16.12,EJE 161,T.couchii,Jackson Meadows Res,Sierra,10.9,,,0.905,0.727,0.816,10MAMU,0.00155761,1.336,61.08%,,0.031,0.05,
16.12,EJE 161,T.couchii,Jackson Meadows Res,Sierra,10.9,,,0.905,0.727,0.816,25MAMU,0.003894025,5.128,15.91%,,0.078,0.05,
16.121,EJE 162,T.couchii,Jackson Meadows Res,Sierra,13.9,,,,,#DIV/0!,5MAMU,0.000993155,,,,0.02,0.05,defensive
16.122,EJE 163,T.couchii,Jackson Meadows Res,Sierra,49,,,0.76,0.615,0.688,5MAMU,0.00350105,2.601,26.43%,,0.07,0.05,3.7
16.122,EJE 163,T.couchii,Jackson Meadows Res,Sierra,49,,,0.76,0.615,0.688,1MAMU,0.00070021,0.547,125.69%,,0.014,0.05,
16.123,EJE 164,T.couchii,Carr Lake,Nevada,41,,,0.635,0.73,0.683,5MAMU,0.00292945,14.27,4.78%,,0.059,0.05,3.1
16.123,EJE 164,T.couchii,Carr Lake,Nevada,41,,,0.635,0.73,0.683,1MAMU,0.00058589,0.683,99.93%,,0.012,0.05,
16.124,EJE 165,T.couchii,Canyon Creek,Nevada,32.6,,,0.71,0.712,0.711,5MAMU,0.00232927,2.902,24.50%,,0.047,0.05,3.65
16.124,EJE 165,T.couchii,Canyon Creek,Nevada,32.6,,,0.71,0.712,0.711,1MAMU,0.000465854,0.526,135.17%,,0.093,0.005,
16.125,EJE 166,T.couchii,Canyon Creek,Nevada,7.6,,,,,#DIV/0!,5MAMU,0.00054302,,,,0.011,0.05,defensive
16.126,EJE 167,T.couchii,Canyon Creek,Nevada,7.7,,,1.09,,1.09,5MAMU,0.000550165,2.523,43.20%,,0.011,0.05,4.08
16.126,EJE 167,T.couchii,Canyon Creek,Nevada,7.7,,,1.09,,1.09,1MAMU,0.000110033,,#DIV/0!,,0.022,0.005,defensive
16.126,EJE 167,T.couchii,Canyon Creek,Nevada,7.7,,,1.09,,1.09,1MAMU,0.000110033,,#DIV/0!,,0.022,0.005,defensive
16.126,EJE 167,T.couchii,Canyon Creek,Nevada,7.7,,,1.09,,1.09,1MAMU,0.000110033,1.499,72.72%,,0.022,0.005,
16.127,EJE 168,T.couchii,Canyon Creek,Nevada,5,,,,,#DIV/0!,5MAMU,0.00035725,,,,0.007,0.05,defensive
16.128,EJE 169,T.couchii,Canyon Creek,Nevada,9.4,,,,,#DIV/0!,5MAMU,0.00067163,,,,0.013,0.05,defensive
16.129,EJE 170,T.couchii,Canyon Creek,Nevada,9.1,,,1.077,0.73,0.904,5MAMU,0.000650195,7.92,11.41%,,0.013,0.05,3.26
16.129,EJE 170,T.couchii,Canyon Creek,Nevada,9.1,,,1.077,0.73,0.904,1MAMU,0.000130039,0.797,113.36%,,0.026,0.005,
16.13,EJE 171,T.couchii,Canyon Creek,Nevada,6.3,,,0.907,0.865,0.886,5MAMU,0.000450135,,#DIV/0!,,0.09,0.005,defensive
16.13,EJE 171,T.couchii,Canyon Creek,Nevada,6.3,,,0.907,0.865,0.886,5MAMU,0.000450135,,#DIV/0!,,0.09,0.005,defensive
16.131,EJE 172,T.couchii,Canyon Creek,Nevada,9.2,,,0.885,0.959,0.922,5MAMU,0.00065734,0.989,93.23%,,0.013,0.05,7.96
16.131,EJE 172,T.couchii,Canyon Creek,Nevada,9.2,,,0.885,0.959,0.922,10MAMU,0.00131468,4.486,20.55%,,0.026,0.05,
16.132,EJE 173,T.couchii,Canyon Creek,Nevada,7.9,,,1.186,1.05,1.118,5MAMU,0.000564455,2.624,42.61%,,0.011,0.05,4.5
16.132,EJE 173,T.couchii,Canyon Creek,Nevada,7.9,,,1.186,1.05,1.118,1MAMU,0.000112891,1.049,106.58%,,0.023,0.005,
16.133,EJE 174,T.couchii,Milton Res,Nevada,21.7,,,0.815,0.849,0.832,5MAMU,0.001550465,8.578,9.70%,,0.031,0.05,3.21
16.133,EJE 174,T.couchii,Milton Res,Nevada,21.7,,,0.815,0.849,0.832,1MAMU,0.000310093,0.754,110.34%,,0.062,0.005,
16.134,EJE 175,T.couchii,Sawmill lake,Nevada,11.8,,,1.079,0.863,0.971,5MAMU,0.00084311,1.693,57.35%,,0.017,0.05,7.35
16.134,EJE 175,T.couchii,Sawmill lake,Nevada,11.8,,,1.079,0.863,0.971,10MAMU,0.00168622,2.323,41.80%,,0.034,0.05,
16.135,EJE 176,T.couchii,Sawmill lake,Nevada,9.1,,,0.946,,0.946,5MAMU,0.000650195,3.023,31.29%,,0.013,0.05,3.75
16.135,EJE 176,T.couchii,Sawmill lake,Nevada,9.1,,,0.946,,0.946,1MAMU,0.000130039,,#DIV/0!,,0.026,0.005,defensive
16.135,EJE 176,T.couchii,Sawmill lake,Nevada,9.1,,,0.946,,0.946,1MAMU,0.000130039,1.042,90.79%,,0.026,0.005,
16.136,EJE 177,T.couchii,Milton Res,Nevada,16.6,,,0.888,0.781,0.835,5MAMU,0.00118607,1.507,55.37%,,0.024,0.05,6
16.136,EJE 177,T.couchii,Milton Res,Nevada,16.6,,,0.888,0.781,0.835,10MAMU,0.00237214,2.958,28.21%,,0.047,0.05,
16.137,EJE 178,T.couchii,Milton Res,Nevada,4.8,,,,,#DIV/0!,5MAMU,0.00034296,,,,0.069,0.005,defensive
16.138,EJE 179,T.couchii,Jackson Meadows Res,Sierra,9.4,,,0.811,0.851,0.831,5MAMU,0.00067163,0.894,92.95%,,0.013,0.05,25
16.138,EJE 179,T.couchii,Jackson Meadows Res,Sierra,9.4,,,0.811,0.851,0.831,10MAMU,0.00134326,1.388,59.87%,,0.027,0.05,
16.138,EJE 179,T.couchii,Jackson Meadows Res,Sierra,9.4,,,0.811,0.851,0.831,25MAMU,0.00335815,1.645,50.52%,,0.067,0.05,
16.139,EJE 180,T.couchii,Jackson Meadows Res,Sierra,14.3,,,0.826,1.002,0.914,5MAMU,0.001021735,1.091,83.78%,,0.02,0.05,8.3
16.139,EJE 180,T.couchii,Jackson Meadows Res,Sierra,14.3,,,0.826,1.002,0.914,10MAMU,0.00204347,2.828,32.32%,,0.041,0.05,
16.14,EJE 181,T.couchii,So. Fork Tuolumne River,Tuolumne,6.9,,,1.012,,1.012,50MAMU,0.00493005,8.52,11.88%,,0.099,0.05,defensive
16.14,EJE 181,T.couchii,So. Fork Tuolumne River,Tuolumne,6.9,,,1.012,,1.012,25MAMU,0.002465025,,#DIV/0!,,0.049,0.05,defensive
16.14,EJE 181,T.couchii,So. Fork Tuolumne River,Tuolumne,6.9,,,1.012,,1.012,25MAMU,0.002465025,12.172,8.31%,,0.049,0.05,
16.14,EJE 181,T.couchii,So. Fork Tuolumne River,Tuolumne,6.9,,,1.012,,1.012,5MAMU,0.000493005,,#DIV/0!,,0.099,0.005,defensive
16.141,EJE 182,T.couchii,So. Fork Tuolumne River,Tuolumne,145.8,,,0.689,0.648,0.669,50MAMU,0.1041741,1.467,45.57%,,1.042,0.1,47.5
16.141,EJE 182,T.couchii,So. Fork Tuolumne River,Tuolumne,145.8,,,0.689,0.648,0.669,25MAMU,0.05208705,0.745,89.73%,,0.521,0.1,
16.142,EJE 183,T.couchii,So. Fork Tuolumne River,Tuolumne,5.9,,,,,#DIV/0!,50MAMU,0.00421555,,,,0.042,0.1,defensive
16.143,EJE 184,T.couchii,So. Fork Tuolumne River,Tuolumne,6,,,,,#DIV/0!,50MAMU,0.004287,,,,0.043,0.1,defensive
16.144,EJE 185,T.couchii,So. Fork Tuolumne River,Tuolumne,6,,,,,#DIV/0!,50MAMU,0.004287,,,,0.043,0.1,defensive
16.145,EJE 186,T.couchii,So. Fork Tuolumne River,Tuolumne,12.3,,,0.997,0.903,0.95,50MAMU,0.00878835,1.683,56.45%,,0.088,0.1,137.6
16.145,EJE 186,T.couchii,So. Fork Tuolumne River,Tuolumne,12.3,,,0.997,0.903,0.95,100MAMU,0.0175767,1.296,73.30%,,0.176,0.1,
16.145,EJE 186,T.couchii,So. Fork Tuolumne River,Tuolumne,12.3,,,0.997,0.903,0.95,200MAMU,0.0351534,8.128,11.69%,,0.352,0.1,
16.146,EJE 187,T.couchii,So. Fork Tuolumne River,Tuolumne,7.3,,,,,#DIV/0!,50MAMU,0.00521585,,,,0.052,0.1,defensive
16.147,EJE 188,T.couchii,So. Fork Tuolumne River,Tuolumne,5.1,,,1.187,,1.187,50MAMU,0.00364395,,#DIV/0!,,0.036,0.1,defensive
16.147,EJE 188,T.couchii,So. Fork Tuolumne River,Tuolumne,5.1,,,1.187,,1.187,50MAMU,0.00364395,,#DIV/0!,,0.036,0.1,defensive
16.148,EJE 189,T.couchii,Canyon Creek,Nevada,8.4,,,1.127,0.816,0.972,5MAMU,0.00060018,1.04,93.41%,,0.012,0.05,22.2
16.148,EJE 189,T.couchii,Canyon Creek,Nevada,8.4,,,1.127,0.816,0.972,10MAMU,0.00120036,1.16,83.75%,,0.024,0.05,
16.148,EJE 189,T.couchii,Canyon Creek,Nevada,8.4,,,1.127,0.816,0.972,25MAMU,0.0030009,2.3,42.24%,,0.06,0.05,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
