INDIV,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,,50% MAMU,,
TT4,4.52,210,275,0.969,1.02,0.995,,0.005,1.564,63.59%,,,,
TT5,5.29,221,294,0.949,1.063,1.006,,0.002,1.283,78.41%,,>95,,
TT5,5.29,221,294,0.949,1.063,1.006,,0.005,1.345,74.80%,,,,
TT6,4.93,214,289,1.021,1.007,1.014,,0.002,1.027,98.73%,,>95,,
TT6,4.93,214,289,1.021,1.007,1.014,,0.005,1.591,63.73%,,,,
TT7,4.21,198,265,1.041,1,1.021,,0.002,1.348,75.70%,,73.6,,
TT7,4.21,198,265,1.041,1,1.021,,0.005,2.971,34.35%,,,,
UG1,3.91,196,263,1.241,1.099,1.17,,0.002,1.467,79.75%,,77.3,,
UG1,3.91,196,263,1.241,1.099,1.17,,0.005,3.228,36.25%,,,,
UG10,3.75,186,252,1.108,1.08,1.094,,0.002,1.486,73.62%,,>95,,
UG10,3.75,186,252,1.108,1.08,1.094,,0.005,1.849,59.17%,,,,
UG11,3.66,188,245,1.135,1.176,1.156,,0.002,1.784,64.77%,,61.3,,
UG11,3.66,188,245,1.135,1.176,1.156,,0.005,4.078,28.33%,,,,
UG12,3.22,177,237,1.139,1.08,1.11,,0.002,2.508,44.24%,,no data,,
UG12,3.22,177,237,1.139,1.08,1.11,,0.005,4.523,24.53%,,,,
UG13,3.64,182,246,0.969,0.962,0.966,,0.002,1.397,69.11%,,>95,,
UG13,3.64,182,246,0.969,0.962,0.966,,0.005,1.794,53.82%,,,,
UG2,3.89,190,254,1.129,1.109,1.119,,0.002,1.792,62.44%,,64.9,,
UG2,3.89,190,254,1.129,1.109,1.119,,0.005,3.118,35.89%,,,,
UG3,3.46,185,248,1.103,1.074,1.089,,0.002,2.288,47.57%,,no data,,
UG3,3.46,185,248,1.103,1.074,1.089,,0.005,3.852,28.26%,,,,
UG4,3.72,195,259,1.009,1.122,1.066,,0.002,1.507,70.70%,,67.7,,
UG4,3.72,195,259,1.009,1.122,1.066,,0.005,3.477,30.64%,,,,
UG5,3.7,191,256,1.191,1.031,1.111,,0.002,1.956,56.80%,,54.2,,
UG5,3.7,191,256,1.191,1.031,1.111,,0.005,3.41,32.58%,,,,
UG6,3.23,185,245,1.044,1.139,1.092,,0.002,1.583,68.95%,,64.5,,
UG6,3.23,185,245,1.044,1.139,1.092,,0.005,3.942,27.69%,,,,
UG7,3.05,183,236,1.212,1.256,1.234,,0.002,1.925,64.10%,,70.6,,
UG7,3.05,183,236,1.212,1.256,1.234,,0.005,3.137,39.34%,,,,
UG8,3.52,182,240,1.218,1.262,1.24,,0.002,2.15,57.67%,,61,,
UG8,3.52,182,240,1.218,1.262,1.24,,0.005,3.215,38.57%,,,,
UG9,3.76,193,259,0.99,1.099,1.045,,0.002,1.549,67.43%,,76,,
UG9,3.76,193,259,0.99,1.099,1.045,,0.005,2.553,40.91%,,,,
UM1,4.15,193,258,,1.245,1.245,,0.0005,1.276,97.57%,,112.4,,
UM1,4.15,193,258,1.511,1.245,1.378,,0.01,10.082,13.67%,,,,
UM10,4.23,205,277,1.056,1.033,1.045,,0.0005,1.328,78.65%,,86.9,,
