INDIV,species,locality,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,1 MU/g,ml of Dilution,Unnamed: 15,Unnamed: 16
5.68,T.c.,"Deep Cr., Fresno Co.",5.3,252,339,1.136,,1.136,10MU,0.00075737,,,,0.076,0.01,Not usable
5.69,T.c.,"Deep Cr., Fresno Co.",12.2,327,444,0.748,0.749,0.749,10MU,0.00174338,,,,0.174,0.01,>100
5.7,T.c.,"Deep Cr., Fresno Co.",5.6,237,319,0.763,1.113,0.938,10MU,0.00080024,0.789,118.88%,,0.08,0.01,>100
5.71,T.c.,"Deep Cr., Fresno Co.",3.9,193,256,1.422,1.262,1.342,10MU,0.00055731,1.075,124.84%,,0.056,0.01,>100
5.72,T.c.,"Deep Cr., Fresno Co.",3.9,205,274,,,#DIV/0!,,,1.254,,,,,
5.73,T.c.,"Deep Cr., Fresno Co.",10.8,330,411,1.142,,1.142,10MU,0.00154332,0.885,129.04%,,0.154,0.01,
5.74,T.c.,"Deep Cr., Fresno Co.",38.6,482,633,0.686,0.612,0.649,10MU,0.00551594,0.673,96.43%,,0.055,0.1,>100
5.75,T.c.,"Deep Cr., Fresno Co.",3.6,208,273,,,#DIV/0!,,,,,,,,
5.76,T.c.,"Deep Cr., Fresno Co.",39.3,469,616,,,#DIV/0!,,,,,,,,
5.77,T.c.,"Deep Cr., Fresno Co.",24.3,396,539,0.779,0.729,0.754,10MU,0.00347247,0.692,108.96%,,0.035,0.1,>100
5.78,T.c.,"Deep Cr., Fresno Co.",29.4,453,595,0.763,0.796,0.78,10MU,0.00420126,0.767,101.63%,,0.042,0.1,86.9
5.79,T.c.,"Deep Cr., Fresno Co.",25.6,418,562,0.901,0.84,0.871,10MU,0.00365824,0.886,98.25%,,0.037,0.1,>100
5.8,T.c.,"Deep Cr., Fresno Co.",7.1,227,301,,0.982,0.982,10MU,0.00101459,,,81.07%,0.101,0.01,not usable
5.81,T.c.,"Smith R., Del Norte Co.",81,553,722,0.768,0.904,0.836,1MU,0.00115749,1.06,78.87%,,0.116,0.01,2.23
5.82,T.c.,"Smith R., Del Norte Co.",27.8,443,595,0.763,0.574,0.669,1MU,0.000397262,0.734,91.08%,,0.04,0.01,4.22
5.83,T.c.,"Smith R., Del Norte Co.",27.8,419,540,0.682,0.842,0.762,1MU,0.000397262,0.751,101.46%,,0.04,0.01,3.96
5.84,T.c.,"Smith R., Del Norte Co.",3.3,210,271,1.065,1.262,1.164,1MU,0.000047157,0.994,117.05%,,0.047,0.001,3.13
5.85,T.c.,"Smith R., Del Norte Co.",3.3,202,289,1.341,0.917,1.129,1MU,0.000047157,1.273,88.69%,,0.047,0.001,4.47
5.86,T.c.,"Smith R., Del Norte Co.",23.6,405,545,0.644,0.942,0.793,1MU,0.000337244,0.767,103.39%,57.79%,0.034,0.01,not usable
6.126,T.c.,Leoni Meadows,83.4,621,825,0.555,0.378,0.467,25MU,0.02979465,0.957,48.75%,,0.06,0.5,25
6.127,T.c.,Leoni Meadows,112.9,630,811,0.503,0.874,0.689,50MU,0.08066705,0.841,81.87%,,0.161,0.5,>50
6.128,T.c.,Leoni Meadows,133.3,678,877,0.672,0.766,0.719,50MU,0.09524285,1.492,48.19%,,0.19,0.5,47.5
6.129,T.c.,Leoni Meadows,219.2,723,944,0.606,0.742,0.674,50MU,0.1566184,5.329,12.65%,,0.313,0.5,37.5
6.13,T.c.,Leoni Meadows,65.9,568,736,0.602,0.805,0.704,50MU,0.04708555,1.81,38.87%,,0.094,0.5,42
6.131,T.c.,Leoni Meadows,2.9,216,275,1.149,1.098,1.124,50MU,0.00207205,3.215,34.95%,,0.041,0.05,27.3
6.132,T.c.,Leoni Meadows,5.7,238,312,1.103,1.143,1.123,50MU,0.00407265,1.482,75.78%,,0.081,0.05,>50
6.133,T.c.,Leoni Meadows,5.6,284,376,0.996,0.855,0.926,50MU,0.0040012,1.444,64.09%,,0.08,0.05,>50
6.182,T.c.,Dogtown Cr.,127,694,887,0.761,0.765,0.763,25MU,0.04537075,0.839,90.94%,,0.091,0.5,39
6.183,T.c.,Dogtown Cr.,99.8,602,793,0.787,0.613,0.7,25MU,0.03565355,1.136,61.62%,,0.071,0.5,31.6
6.226,T.c.,Beauty Lake,78.2,605,886,0.652,0.51,0.581,1MU,0.001117478,0.633,91.79%,,0.112,0.01,6.3
6.227,T.c.,Beauty Lake,16.4,367,479,0.62,0.672,0.646,1MU,0.000234356,0.591,109.31%,,0.047,0.005,7.46
