ID,species,locality,county,sex,capture_date,lab_entry_date,SVL(mm)_at_lab_entry,mass(g)_at_lab_entry,mass(g)_14Oct2017,SVL(mm)_16April2018,mass(g)_16April2018,SVL(mm)_before_muscle_exp,mass(g)_before_muscle_exp,food_type,Ivermectin_treatment,Notes,50%MAMU,genotype
CRF3171,Pituophis catenifer,Long Valley,Sierra,-,,3-Jun-17,,,,60,100,,,mice,12-JULY-2017/27-JULY-2017/10-AUG-2017,,,
CRF3184,Thamnophis sirtalis,Watson Lake,Placer,F,,20-Jul-17,600,84,,60,84,,,,20-JULY-2017/3-AUG-2017/17-AUG-2017,WATCH,,
CRF3185,Thamnophis sirtalis,Watson Lake,Placer,F,,20-Jul-17,650,82,,60,85,,,,20-JULY-2017/3-AUG-2017/17-AUG-2017,,,
CRF3186,Thamnophis sirtalis,Watson Lake,Placer,F,,20-Jul-17,500,71,,54,81,,,,20-JULY-2017/3-AUG-2017/17-AUG-2017,,,
CRF3187,Thamnophis sirtalis,Watson Lake,Placer,M,,20-Jul-17,400,22,,39,17,,,,20-JULY-2017/3-AUG-2017/17-AUG-2017,,,
CRF3188,Thamnophis elegans,Watson Lake,Placer,F,,20-Jul-17,500,85,,53.5,75,,,,20-JULY-2017/3-AUG-2017/17-AUG-2017,gave birth to six neonates on 10-OCT-2017; WATCH,,
CRF3189,Thamnophis elegans,Watson Lake,Placer,M,,20-Jul-17,380,27,24,-,-,,,,20-JULY-2017/3-AUG-2017/17-AUG-2017,taken for muscle exp 4-Mar,,
CRF3190,Thamnophis elegans,Watson Lake,Placer,F,,20-Jul-17,370,21,19,38,21,,,,20-JULY-2017/3-AUG-2017/17-AUG-2017,,,
CRF3211,Thamnophis couchii,Sotcher Lake,Madera,F,,6-Aug-17,580,63,,56,45,,,,7-AUG-2017/22-AUG-2017/4-SEPT-2017,,,
CRF3212,Coluber constrictor,Rocky Point Rd.,Plumas,-,,14-Aug-17,,,,29,13,,,,14-AUG-2017/29-SEPT-2017/16-SEPT-2017,,,
CRF3215,Thamnophis sirtalis ,Deep Creek,Fresno,F,,19-Aug-17,,14,,38.25,22,,,,19-AUG-2017/2-SEPT-2017/16-SEPT-2017,,,
CRF3216,Thamnophis couchii,Deep Creek,Fresno,F,,19-Aug-17,220,5,,-,-,,,,19-AUG-2017/2-SEPT-2017/16-SEPT-2017,DIED 16-DEC-2017,,
CRF3217,Thamnophis couchii,Deep Creek,Fresno,F,,19-Aug-17,,187,,76.5,156,,,,19-AUG-2017/2-SEPT-2017/16-SEPT-2017,,,
CRF3220,Thamnophis couchii,"Kibbie Ridge, above Cherry Creek",Tuolumne ,F,,29-Aug-17,,,,53.5,63,,,,29-AUG-2017/12-SEPT-2017/25-SEPT-2017,,,
CRF3221,Thamnophis couchii,"Kibbie Ridge, above Cherry Creek",Tuolumne ,F,,29-Aug-17,,,,47.5,32,,,,29-AUG-2017/12-SEPT-2017/25-SEPT-2017,,,
CRF3269,Diadophis punctatus,,,-,,,,,,28.5,6,,,,16-Apr-18,,,
CRF3273,Coluber constrictor,,,-,,,,,,46.5,33,,,,16-Apr-18,,,
CRF3274,Coluber constrictor,,,-,,,,,,45,33,,,,16-Apr-18,,,
CRF3275,Thamnophis sirtalis,Knoxville,Napa,F,,,,,,44,45,,,,16-Apr-18,,,
CRF3293,Thamnophis couchii,N. F. Mokelumne River,Calaveras,F,26-May-18,27-May-18,,,,,,,,,,,,
CRF3294,Thamnophis sirtalis,S. F. Mokelumne River,Calaveras,M,26-May-18,27-May-18,,,,,,,,,,,,
CRF3306,Thamnophis couchii,"Kibbie Ridge, above Cherry Creek",Tuolomne,F,13-Jun-18,15-Jun-18,53,48,,,,,,,,,,
CRF3307,Thamnophis couchii,"Kibbie Ridge, above Cherry Creek",Tuolomne,F,13-Jun-18,15-Jun-18,53,52,,,,,,,,,,
CRF3308,Thamnophis couchii,"Kibbie Ridge, above Cherry Creek",Tuolomne,F,13-Jun-18,15-Jun-18,55,58,,,,,,,,,,
CRF3309,Thamnophis couchii,West Walker River,Mono,F,14-Jun-18,15-Jun-18,44,28,,,,,,,,,,
CRF3311,Thamnophis sirtalis,Tamarack Lake,Sierra,m,3_july_2018,6_July_2018,,9,,,,,,,,,,
CRF3312,Thamnophis couchii,Tamarack Lake,Sierra,m?,3_July_2018,6_July_2018,400,35,,,,,,,,,,
EE_Unk,Thamnophis hammondii,Boulder Creek,San Diego,-,,27-Jul-17,,,,-,-,,,,27-JULY-2017/10-AUG-2017/24-AUG-2017,DIED SEPT-2017 - NEONATE,,
EE2017.1,Thamnophis hammondii,Boulder Creek,San Diego,F,,27-Jul-17,,,,47.5,57,,,mice in water,27-JULY-2017/10-AUG-2017/24-AUG-2017,,,
EE2017.2,Thamnophis hammondii,Boulder Creek,San Diego,F,,27-Jul-17,,,,51,103,,,mice in water,27-JULY-2017/10-AUG-2017/24-AUG-2017,,,
